fof_halo_tag,A1,A0,B1,B0,C1,C0,D1,D0
1498480504840,True,False,True,False,False,True,True,False
1714688413256,True,False,True,False,True,False,True,False
1737869339716,True,False,False,True,False,True,True,False
1731833788914,True,False,True,False,True,False,True,False
1834708680538,True,False,True,False,False,True,False,True
1986812705710,True,False,False,True,False,True,False,True
1673132252972,True,False,True,False,False,True,False,True
1578494233122,True,False,True,False,False,True,True,False
1869985404074,True,False,True,False,True,False,True,False
1906188984386,True,False,True,False,False,True,True,False
1573716717164,True,False,True,False,False,True,False,True
1610231139128,True,False,True,False,True,False,True,False
1551812927614,True,False,True,False,True,False,True,False
1681998093984,True,False,True,False,True,False,True,False
1745505721806,True,False,True,False,False,True,True,False
1962370320104,True,False,True,False,False,True,False,True
1542619564448,True,False,True,False,True,False,False,True
1686771603524,True,False,True,False,False,True,False,True
1649947901558,False,True,False,False,False,False,False,False
1593103682458,True,False,True,False,False,True,True,False
1619140146164,True,False,True,False,False,True,False,True
1601992226862,True,False,True,False,False,True,False,True
1581679691606,True,False,True,False,True,False,True,False
1751222467992,True,False,True,False,True,False,True,False
1810609393124,True,False,True,False,False,True,True,False
1892202130004,True,False,True,False,True,False,True,False
1119714977096,True,False,True,False,True,False,True,False
1041912623690,True,False,True,False,True,False,True,False
1150180895866,True,False,True,False,False,True,False,True
1048587272324,True,False,True,False,False,True,False,True
1286079581138,True,False,True,False,False,True,False,True
1473411920994,True,False,True,False,True,False,True,False
1435004273390,True,False,True,False,False,True,True,False
1375625337300,True,False,True,False,True,False,True,False
1081617895024,True,False,True,False,False,True,True,False
1105111754660,True,False,True,False,True,False,True,False
1030495991194,True,False,True,False,False,True,False,True
1259443256824,True,False,True,False,False,True,False,True
1343577136652,True,False,True,False,True,False,True,False
1241311631262,True,False,True,False,False,True,True,False
1072720683304,True,False,True,False,True,False,True,False
1059374209464,True,False,True,False,False,True,False,True
1057469820508,True,False,True,False,False,True,True,False
1146372774104,True,False,False,True,False,True,True,False
1093037881894,True,False,True,False,True,False,True,False
1441667457266,True,False,True,False,True,False,True,False
1425163498812,True,False,True,False,True,False,True,False
1333407727810,True,False,True,False,False,True,True,False
1359766826776,False,True,False,False,False,False,False,False
1393106401806,True,False,True,False,False,True,True,False
1470256883424,True,False,True,False,False,True,False,True
1725530159138,True,False,True,False,True,False,False,True
1637578858974,True,False,True,False,False,True,True,False
1813167518946,True,False,True,False,False,True,True,False
1886823817734,True,False,True,False,False,True,True,False
1811901168494,True,False,True,False,False,True,False,True
1882071879522,False,True,False,False,False,False,False,False
1544558224244,True,False,True,False,False,True,True,False
1549643785924,True,False,True,False,True,False,False,True
1642040845600,True,False,True,False,False,True,True,False
1640452615810,True,False,True,False,True,False,True,False
1954489270002,False,True,False,False,False,False,False,False
1988145382116,False,True,False,False,False,False,False,False
1775080895078,False,True,False,False,False,False,False,False
1586451815434,False,True,False,False,False,False,False,False
1697612441400,True,False,True,False,False,True,False,True
1783985441504,True,False,True,False,True,False,False,True
1906549622870,True,False,False,True,False,True,False,True
1895742125388,True,False,True,False,True,False,True,False
1963054878394,True,False,True,False,True,False,True,False
1098394420496,True,False,True,False,True,False,True,False
1227941647648,True,False,True,False,False,True,False,True
1306376295142,True,False,True,False,True,False,True,False
1460364977272,True,False,True,False,False,True,True,False
1045380752100,True,False,True,False,True,False,True,False
