# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
         658     42591787748     42591787748    0.00780    0.01983      98.548     1.1022
         663    159778062184    159778062184    0.02593    0.03936      45.790     1.9695
         665    295687457364    295687457364    0.06452    0.09238     140.324     0.4512
         666    376019866108    376019866108    0.05147    0.04832      92.233     0.0216
         668    383634474992    383634474992    0.06876    0.12124     166.899    -0.1970
         669    132128144384    132128144384    0.04584    0.01002     137.080     0.4948
         672    350912528550    350912528550    0.01174    0.00786     149.056    -0.0992
         675    215983789944    215983789944    0.06338    0.03513     100.613    -0.9321
         676    207408835886    207408835886    0.05372    0.05147     184.851    -0.3123
         679    353464834612    353464834612    0.03203    0.05160     136.586    -0.5732
         683    549363586066    549363586066    0.04169    0.02352     170.907     1.2540
         685   1000869414978   1000869414978    0.04214    0.05097     167.097    -0.0443
         686    870690120550    870690120550    0.05147    0.04589     167.383     0.6739
         688    759559028522    759559028522    0.03645    0.05635     188.341     0.5738
         690    553187937186    553187937186    0.03484    0.04401     132.764    -2.8110
         691    719562444306    719562444306    0.05898    0.02233     119.321     1.3393
         697    523630002298    523630002298    0.02192    0.02316     113.531    -0.3874
         698    928792124132    928792124132    0.05272    0.03004      57.672     2.5785
         700    810365254596    810365254596    0.06441    0.07889      80.989    -1.2634
         707    155280949016    155280949016    0.03891    0.03640      41.728     2.0185
         708    264191895598    264191895598    0.04127    0.11478     139.066     1.2240
         709    268939752940    268939752940    0.04822    0.03279     200.003    -1.3252
         711    469944504084    469944504084    0.06471    0.07084     110.412     0.6738
         712    128313394936    128313394936    0.04592    0.07393     186.068     1.7507
         713    124490278628    124490278628    0.06850    0.03604     153.806     0.1879
         714    338824115232    338824115232    0.01531    0.03696     119.931     1.0401
         715    485836934352    485836934352    0.04747    0.01931      55.029     2.9239
         716    239736054492    239736054492    0.06726    0.11497     181.225     0.0863
         720    395008902788    395008902788    0.02009    0.00574      93.343     2.3912
         721    332452095490    332452095490    0.02569    0.02589      74.643     2.4491
         723    413428717418    413428717418    0.01938    0.03919     196.860     0.1307
         728    814123533686    814123533686    0.01416    0.01831     127.991    -1.0258
         729    947804115444    947804115444    0.01639    0.00840     172.005     1.2142
         730    765580219354    765580219354    0.05996    0.06123     177.318     0.0292
         731    758574090290    758574090290    0.04026    0.02299      83.287     2.0297
         732    561062690542    561062690542    0.06849    0.02438     104.724    -0.3833
