# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
    24       668    383634474992    383634474992   0.06876   0.12124    166.899   -0.1970
    25       869   1498391102730   1498391102730   0.05792   0.11963    304.012   -1.9414
    26      9778   2107960695770   2107960695770   0.03961   0.11871    233.650   -1.7449
    27      8076   1174491930440   1174491930440   0.05185   0.11858     75.937    0.0325
    28      1712   2747003545272   2747003545272   0.05764   0.11857    155.193   -2.4028
    29      5704    921182568662    921182568662   0.03637   0.11831    190.594    1.1733
    30      4630   3746923726120   3746923726120   0.02762   0.11695    166.385   -0.4351

# ── R1_notR3  (30 halos) ──────────────────────────────
# Selection: largest K_core (most heated core within R1)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      9170   2256273700578   2256273700578   0.04033   0.03207  14947.758    1.4660
     2      7383   3893872368326   3893872368326   0.00546   0.05905   7502.251   -0.4533
     3      8319   1827202856594   1827202856594   0.05608   0.04884   7466.273    1.4486
     4       211   1025325229616   1025325229616   0.06596   0.05033   4836.527   -1.3082
     5      5121    938610256280    938610256280   0.05816   0.02965   4583.049   -2.5769
     6      5762    845603058018    845603058018   0.04537   0.02330   4550.075    3.2366
     7      1752   3918598011648   3918598011648   0.05974   0.04176   4084.690    2.8937
     8      1019    192835878034    192835878034   0.03680   0.07456   3876.563    1.0381
     9      8384   1675413304858   1675413304858   0.06958   0.03642   3793.557   -2.9050
    10      6562   2066505729292   2066505729292   0.06226   0.06510   3234.120   -2.6805
    11      4858   3578704272664   3578704272664   0.00873   0.02692   3171.247    3.8857
    12      5495   1144792216586   1144792216586   0.04033   0.02741   3166.208   -0.9756
    13      8366   1097858762876   1097858762876   0.04298   0.02376   2917.959   -0.3815
    14      4029   3225575838888   3225575838888   0.06052   0.03766   2836.013    2.7309
    15      3945   3439902211520   3439902211520   0.06771   0.02917   2678.551    0.1678
    16      9027   3173827878158   3173827878158   0.06507   0.05118   2354.672   -2.1591
    17      4764   2721446792376   2721446792376   0.05418   0.02856   2112.735    4.9653
    18      5157   1170405495998   1170405495998   0.06816   0.07128   2029.536   -0.8648
    19      2755   1056572778190   1056572778190   0.06883   0.01558   1968.672   -2.9654
    20      8710   1250368710106   1250368710106   0.04705   0.05590   1693.247    5.1976
    21      9347   3940389347982   3940389347982   0.04879   0.03921   1683.868    2.0243
    22      5877   1974038191632   1974038191632   0.05597   0.05482   1612.961   -1.5161
    23      5446    827919555856    827919555856   0.04738   0.03820   1589.307    3.3168
    24      7522    299627181526    299627181526   0.01747   0.03919   1410.198    2.5596
    25      2901    799758618736    799758618736   0.03172   0.04198   1395.679    3.9129
    26      8024   1577095418848   1577095418848   0.05988   0.04459   1379.228    0.9858
    27      5618    288009333494    288009333494   0.06081   0.07782   1256.639   -1.1964
    28      2818    132649021822    132649021822   0.01017   0.00784   1174.187    2.9145
    29      8054   1357656291392   1357656291392   0.04343   0.06842   1134.743   -0.9152
    30      5634    457245403126    457245403126   0.02577   0.02288   1119.103    4.4633

# ── R1_notR4  (30 halos) ──────────────────────────────
# Selection: most negative TPI (most non-cool-core by TPI, within R1)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      6101   1719484725046   1719484725046   0.03121   0.02216     69.862   -9.3425
     2      2739   1826923823218   1826923823218   0.04755   0.02874    236.040   -6.6401
     3      6872   2432871220870   2432871220870   0.05043   0.01476    207.313   -5.1363
     4       635    465816892748    465816892748   0.02993   0.03684    162.443   -4.9179
     5      8682   1788202304218   1788202304218   0.04970   0.06276    177.022   -4.9077
     6      4465   2831494438434   2831494438434   0.05528   0.10611    280.914   -4.6075
     7      5257   1588559001922   1588559001922   0.03694   0.04214    288.091   -4.5678
     8      8373   1047996028162   1047996028162   0.03437   0.05886    202.022   -4.4581
     9      5025    800824589012    800824589012   0.01073   0.05053    145.986   -4.4224
    10      6792   3267050363294   3267050363294   0.06102   0.07015    307.986   -4.3805
    11      7736   1649676436604   1649676436604   0.01893   0.03486    319.441   -4.2972
    12      1888   2332535797684   2332535797684   0.05581   0.05341    480.433   -4.2743
    13      6406   3150472187400   3150472187400   0.04241   0.02817    127.014   -4.2404
    14      1050    423392518786    423392518786   0.03362   0.07231    305.427   -4.0740
    15      7574    881925904028    881925904028   0.03721   0.01543    194.577   -3.9969
    16      4533   3050286758368   3050286758368   0.04888   0.09618    159.882   -3.8956
    17      9397   2166967348248   2166967348248   0.01738   0.01426    925.804   -3.8903
    18      7235   2827652404940   2827652404940   0.05215   0.07616    313.582   -3.8569
    19      1138   1177183155062   1177183155062   0.04055   0.08562    140.168   -3.8343
    20      2675   1323933030596   1323933030596   0.01770   0.03727    266.611   -3.8306
